"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2022","2,523.6","2,458.0","2,543.9","2,435.2","","0.94%"
"10/04/2022","2,500.1","2,472.2","2,503.7","2,460.5","","4.46%"
"10/03/2022","2,393.3","2,343.1","2,415.6","2,321.2","","3.76%"
"09/30/2022","2,306.7","2,324.6","2,380.7","2,306.6","","-1.73%"
"09/29/2022","2,347.4","2,385.5","2,386.1","2,313.1","","-3.29%"
"09/28/2022","2,427.3","2,376.2","2,437.4","2,369.2","","1.22%"
"09/27/2022","2,398.0","2,422.8","2,435.3","2,362.6","","1.04%"
"09/26/2022","2,373.5","2,407.7","2,439.9","2,372.2","","-1.47%"
"09/23/2022","2,408.9","2,417.7","2,423.1","2,369.5","","-1.45%"
"09/22/2022","2,444.2","2,500.1","2,508.0","2,431.8","","-2.81%"
"09/21/2022","2,515.0","2,545.0","2,625.5","2,514.5","","-0.97%"
"09/20/2022","2,539.5","2,557.0","2,563.5","2,523.0","","-1.49%"
"09/19/2022","2,577.9","2,533.6","2,586.9","2,533.4","","0.58%"
"09/16/2022","2,563.1","2,524.7","2,565.4","2,504.9","","0.53%"
"09/15/2022","2,549.5","2,570.4","2,601.1","2,530.5","","-1.62%"
"09/14/2022","2,591.5","2,583.1","2,607.4","2,554.0","","1.14%"
"09/13/2022","2,562.3","2,626.3","2,648.0","2,556.0","","-6.18%"
"09/12/2022","2,731.1","2,725.4","2,745.5","2,701.5","","0.34%"
"09/09/2022","2,721.8","2,693.3","2,732.5","2,693.1","","2.39%"
"09/08/2022","2,658.2","2,579.8","2,664.2","2,571.1","","1.79%"
"09/07/2022","2,611.5","2,578.7","2,631.4","2,560.4","","1.56%"
"09/06/2022","2,571.5","2,596.1","2,612.3","2,551.0","","-1.07%"
"09/02/2022","2,599.3","2,670.3","2,686.0","2,587.9","","-1.02%"
"09/01/2022","2,625.9","2,608.2","2,629.2","2,548.2","","-1.92%"
"08/31/2022","2,677.4","2,711.8","2,718.1","2,657.0","","-1.15%"
"08/30/2022","2,708.6","2,770.0","2,770.0","2,678.8","","-1.31%"
"08/29/2022","2,744.5","2,776.5","2,801.6","2,741.2","","-1.93%"
"08/26/2022","2,798.4","2,958.5","2,966.5","2,797.6","","-5.81%"
"08/25/2022","2,971.1","2,873.4","2,973.1","2,873.0","","3.66%"
"08/24/2022","2,866.2","2,855.4","2,875.3","2,833.6","","0.07%"
"08/23/2022","2,864.3","2,852.2","2,901.9","2,849.9","","0.74%"
"08/22/2022","2,843.4","2,891.7","2,903.0","2,833.6","","-3.72%"
"08/19/2022","2,953.3","2,991.9","3,008.7","2,941.6","","-2.78%"
"08/18/2022","3,037.8","2,974.2","3,058.6","2,967.1","","2.28%"
"08/17/2022","2,970.1","2,999.9","3,000.4","2,931.9","","-2.48%"
"08/16/2022","3,045.6","3,059.3","3,074.6","3,013.3","","-1.03%"
"08/15/2022","3,077.3","3,052.9","3,084.9","3,032.5","","0.31%"
"08/12/2022","3,067.8","2,998.8","3,072.3","2,992.5","","2.99%"
"08/11/2022","2,978.7","3,008.5","3,067.0","2,975.1","","-0.34%"
"08/10/2022","2,988.7","2,942.8","2,990.6","2,905.4","","4.25%"
"08/09/2022","2,866.9","2,928.2","2,937.6","2,832.6","","-4.57%"
"08/08/2022","3,004.3","3,002.5","3,041.2","2,961.3","","-1.61%"
"08/05/2022","3,053.4","3,027.9","3,077.5","3,010.1","","-0.91%"
"08/04/2022","3,081.4","3,041.0","3,087.4","3,038.0","","0.92%"
"08/03/2022","3,053.5","2,972.6","3,060.5","2,970.5","","2.65%"
"08/02/2022","2,974.7","2,951.1","3,021.6","2,936.4","","-0.12%"
"08/01/2022","2,978.3","2,942.8","3,006.7","2,929.4","","0.38%"
"07/29/2022","2,967.1","2,895.3","2,975.3","2,892.5","","0.77%"
"07/28/2022","2,944.5","2,912.8","2,950.3","2,853.4","","1.15%"
"07/27/2022","2,911.0","2,835.1","2,930.6","2,823.0","","4.75%"
"07/26/2022","2,779.0","2,808.0","2,822.8","2,771.7","","-1.63%"
"07/25/2022","2,825.0","2,822.2","2,828.0","2,781.7","","-0.61%"
"07/22/2022","2,842.4","2,905.0","2,906.5","2,820.2","","-2.55%"
"07/21/2022","2,916.8","2,884.2","2,918.2","2,845.6","","1.53%"
"07/20/2022","2,873.0","2,792.8","2,883.5","2,777.3","","2.49%"
"07/19/2022","2,803.1","2,724.3","2,813.8","2,717.8","","4.61%"
"07/18/2022","2,679.6","2,731.6","2,755.0","2,665.2","","-0.53%"
"07/15/2022","2,693.8","2,658.2","2,695.0","2,626.0","","2.54%"
"07/14/2022","2,626.9","2,566.7","2,636.6","2,529.6","","1.92%"
"07/13/2022","2,577.4","2,507.9","2,595.0","2,505.0","","0.75%"
"07/12/2022","2,558.2","2,583.2","2,588.4","2,542.5","","0.18%"
"07/11/2022","2,553.7","2,575.7","2,588.0","2,539.0","","-2.46%"
"07/08/2022","2,618.0","2,567.2","2,632.3","2,561.3","","0.47%"
"07/07/2022","2,605.9","2,560.2","2,616.4","2,555.4","","4.48%"
"07/06/2022","2,494.1","2,477.3","2,520.8","2,456.2","","0.66%"
"07/05/2022","2,477.6","2,391.8","2,478.3","2,386.7","","0.78%"
"07/01/2022","2,458.5","2,512.1","2,524.0","2,429.9","","-3.83%"
"06/30/2022","2,556.3","2,548.6","2,602.6","2,514.4","","-1.07%"
"06/29/2022","2,584.0","2,605.0","2,610.7","2,553.5","","-2.20%"
"06/28/2022","2,642.1","2,724.5","2,758.5","2,640.8","","-2.63%"
"06/27/2022","2,713.5","2,745.8","2,749.7","2,692.8","","-0.18%"
"06/24/2022","2,718.5","2,639.8","2,719.5","2,639.4","","4.45%"
"06/23/2022","2,602.7","2,633.0","2,636.8","2,563.7","","-0.65%"
"06/22/2022","2,619.7","2,603.6","2,658.8","2,602.9","","-1.12%"
"06/21/2022","2,649.4","2,638.5","2,685.0","2,633.6","","2.75%"
"06/17/2022","2,578.5","2,581.7","2,598.6","2,523.2","","0.46%"
"06/16/2022","2,566.9","2,648.2","2,655.1","2,537.7","","-6.24%"
"06/15/2022","2,737.5","2,726.1","2,780.6","2,674.0","","1.77%"
"06/14/2022","2,689.9","2,707.3","2,713.5","2,658.4","","0.63%"
"06/13/2022","2,673.0","2,742.1","2,765.4","2,665.6","","-5.61%"
"06/10/2022","2,832.0","2,894.7","2,911.8","2,828.5","","-3.60%"
"06/09/2022","2,937.8","2,995.8","3,047.7","2,937.4","","-2.69%"
"06/08/2022","3,019.1","3,069.8","3,082.4","3,000.5","","-2.39%"
"06/07/2022","3,093.0","3,025.9","3,098.7","3,008.0","","0.99%"
"06/06/2022","3,062.7","3,121.9","3,132.4","3,047.2","","0.00%"
"06/03/2022","3,062.6","3,080.5","3,103.4","3,047.9","","-3.02%"
"06/02/2022","3,158.0","3,042.0","3,158.6","3,037.0","","3.57%"
"06/01/2022","3,049.0","3,117.3","3,130.1","3,011.2","","-1.60%"
"05/31/2022","3,098.7","3,110.1","3,126.9","3,052.7","","-0.53%"
"05/27/2022","3,115.4","3,048.1","3,120.9","3,046.7","","4.03%"
"05/26/2022","2,994.6","2,850.0","3,006.2","2,848.5","","3.87%"
"05/25/2022","2,882.9","2,812.1","2,905.9","2,809.7","","1.98%"
"05/24/2022","2,827.0","2,853.7","2,863.5","2,797.9","","-2.46%"
"05/23/2022","2,898.4","2,861.3","2,904.2","2,844.1","","0.55%"
"05/20/2022","2,882.7","2,937.7","2,939.5","2,758.7","","-0.27%"
"05/19/2022","2,890.3","2,901.1","2,960.1","2,867.1","","-0.61%"
"05/18/2022","2,908.0","3,012.0","3,054.8","2,897.9","","-5.17%"
"05/17/2022","3,066.5","3,007.5","3,071.6","2,990.3","","5.02%"
"05/16/2022","2,920.1","2,929.9","2,967.8","2,912.2","","-1.69%"
"05/13/2022","2,970.4","2,880.0","2,988.3","2,863.4","","5.06%"
"05/12/2022","2,827.2","2,781.8","2,851.8","2,754.7","","0.54%"
"05/11/2022","2,811.9","2,872.9","2,937.4","2,807.0","","-3.04%"
"05/10/2022","2,900.1","2,918.6","2,948.6","2,834.9","","2.51%"
"05/09/2022","2,829.1","2,918.4","2,949.9","2,817.2","","-5.13%"
"05/06/2022","2,982.1","2,990.5","3,044.8","2,926.1","","-0.78%"
"05/05/2022","3,005.5","3,103.6","3,105.5","2,965.7","","-5.00%"
"05/04/2022","3,163.8","3,071.2","3,166.7","2,974.7","","3.90%"
"05/03/2022","3,044.9","3,012.2","3,067.4","2,994.9","","0.75%"
"05/02/2022","3,022.2","2,936.0","3,024.8","2,905.4","","3.51%"
"04/29/2022","2,919.7","3,006.5","3,065.7","2,916.1","","-4.47%"
"04/28/2022","3,056.4","2,968.5","3,087.0","2,919.5","","5.58%"
"04/27/2022","2,894.9","2,879.8","2,964.5","2,875.4","","-0.49%"
"04/26/2022","2,909.1","3,006.9","3,006.9","2,908.1","","-4.38%"
"04/25/2022","3,042.4","2,964.6","3,045.7","2,964.6","","1.76%"
"04/22/2022","2,989.8","3,054.6","3,069.5","2,988.4","","-2.25%"
"04/21/2022","3,058.7","3,185.8","3,216.8","3,046.7","","-2.66%"
"04/20/2022","3,142.2","3,205.7","3,227.2","3,135.4","","-0.35%"
"04/19/2022","3,153.2","3,073.3","3,157.5","3,057.4","","2.21%"
"04/18/2022","3,085.2","3,018.0","3,110.0","3,018.0","","1.88%"
"04/14/2022","3,028.2","3,131.4","3,132.6","3,026.8","","-2.92%"
"04/13/2022","3,119.3","3,065.3","3,136.6","3,053.6","","2.36%"
"04/12/2022","3,047.5","3,124.3","3,145.8","3,035.9","","-0.25%"
"04/11/2022","3,055.1","3,068.0","3,099.4","3,052.1","","-2.09%"
"04/08/2022","3,120.2","3,164.9","3,173.5","3,116.7","","-2.42%"
"04/07/2022","3,197.4","3,188.9","3,226.8","3,134.4","","0.11%"
"04/06/2022","3,194.0","3,198.0","3,246.9","3,165.0","","-2.32%"
"04/05/2022","3,269.8","3,396.4","3,400.6","3,264.4","","-4.53%"
"04/04/2022","3,424.9","3,380.6","3,428.7","3,368.3","","1.73%"
"04/01/2022","3,366.6","3,454.1","3,455.8","3,317.9","","-1.82%"
"03/31/2022","3,429.0","3,503.7","3,523.7","3,427.5","","-2.27%"
"03/30/2022","3,508.6","3,605.3","3,611.2","3,493.7","","-3.23%"
"03/29/2022","3,625.6","3,601.4","3,633.1","3,557.7","","2.21%"
"03/28/2022","3,547.2","3,501.8","3,548.5","3,450.9","","0.62%"
"03/25/2022","3,525.3","3,526.0","3,535.4","3,467.0","","-0.21%"
"03/24/2022","3,532.7","3,398.0","3,533.6","3,384.3","","5.13%"
"03/23/2022","3,360.3","3,411.7","3,457.2","3,359.4","","-2.48%"
"03/22/2022","3,445.9","3,421.9","3,485.2","3,417.1","","0.66%"
"03/21/2022","3,423.2","3,413.7","3,450.5","3,365.2","","-0.26%"
"03/18/2022","3,432.3","3,338.0","3,443.7","3,324.7","","2.01%"
"03/17/2022","3,364.5","3,298.5","3,365.1","3,280.7","","0.73%"
"03/16/2022","3,340.1","3,233.0","3,340.9","3,202.4","","5.03%"
"03/15/2022","3,180.2","3,073.8","3,186.6","3,057.8","","4.36%"
"03/14/2022","3,047.5","3,140.2","3,150.0","3,030.1","","-3.07%"
"03/11/2022","3,144.1","3,259.7","3,266.3","3,139.6","","-2.08%"
"03/10/2022","3,211.1","3,222.3","3,223.3","3,151.6","","-2.17%"
"03/09/2022","3,282.2","3,261.2","3,303.6","3,223.4","","3.97%"
"03/08/2022","3,156.9","3,110.2","3,268.5","3,067.5","","1.87%"
"03/07/2022","3,098.9","3,273.1","3,285.7","3,097.8","","-4.91%"
"03/04/2022","3,258.9","3,314.9","3,337.7","3,220.4","","-2.42%"
"03/03/2022","3,339.8","3,424.0","3,425.6","3,322.7","","-2.24%"
"03/02/2022","3,416.2","3,335.6","3,436.1","3,330.6","","3.37%"
"03/01/2022","3,304.8","3,419.5","3,435.1","3,274.3","","-3.64%"
"02/28/2022","3,429.5","3,415.4","3,460.8","3,364.1","","-0.67%"
"02/25/2022","3,452.7","3,391.0","3,454.9","3,351.9","","1.57%"
"02/24/2022","3,399.2","3,156.8","3,404.2","3,152.7","","3.70%"
"02/23/2022","3,277.8","3,402.8","3,430.1","3,273.1","","-2.33%"
"02/22/2022","3,356.1","3,347.2","3,436.3","3,307.3","","-0.83%"
"02/18/2022","3,384.3","3,429.4","3,432.4","3,336.0","","-1.12%"
"02/17/2022","3,422.6","3,509.1","3,512.0","3,420.9","","-3.74%"
"02/16/2022","3,555.7","3,511.2","3,567.0","3,480.9","","0.03%"
"02/15/2022","3,554.5","3,439.1","3,559.8","3,433.0","","5.47%"
"02/14/2022","3,370.2","3,376.1","3,433.1","3,324.6","","0.15%"
"02/11/2022","3,365.2","3,552.7","3,568.8","3,341.8","","-4.83%"
"02/10/2022","3,536.1","3,569.1","3,674.4","3,520.5","","-3.22%"
"02/09/2022","3,653.7","3,590.7","3,655.3","3,543.7","","3.35%"
"02/08/2022","3,535.1","3,443.2","3,545.1","3,433.8","","2.40%"
"02/07/2022","3,452.3","3,470.5","3,507.5","3,440.3","","-0.02%"
"02/04/2022","3,453.1","3,420.4","3,481.7","3,374.5","","0.60%"
"02/03/2022","3,432.5","3,510.2","3,559.2","3,425.2","","-4.58%"
"02/02/2022","3,597.2","3,578.4","3,601.2","3,527.0","","2.46%"
"02/01/2022","3,510.9","3,504.7","3,515.5","3,422.4","","0.79%"
"01/31/2022","3,483.2","3,332.1","3,484.7","3,304.9","","5.44%"
"01/28/2022","3,303.4","3,237.5","3,304.2","3,147.5","","1.83%"
"01/27/2022","3,244.0","3,422.9","3,422.9","3,236.2","","-4.78%"
"01/26/2022","3,407.0","3,447.3","3,540.5","3,357.1","","1.68%"
"01/25/2022","3,350.9","3,387.9","3,432.2","3,335.7","","-3.71%"
"01/24/2022","3,479.9","3,363.4","3,483.5","3,257.5","","1.31%"
"01/21/2022","3,434.8","3,466.2","3,567.1","3,429.9","","-1.72%"
"01/20/2022","3,494.8","3,638.2","3,666.6","3,493.1","","-3.25%"
"01/19/2022","3,612.2","3,763.3","3,777.9","3,610.5","","-3.09%"
"01/18/2022","3,727.2","3,840.8","3,840.9","3,720.2","","-4.44%"
"01/14/2022","3,900.6","3,783.1","3,903.0","3,783.1","","2.33%"
"01/13/2022","3,811.8","3,971.2","3,992.2","3,801.4","","-2.29%"
"01/12/2022","3,901.2","3,915.6","3,938.0","3,866.2","","0.66%"
"01/11/2022","3,875.4","3,785.6","3,879.0","3,767.8","","1.84%"
"01/10/2022","3,805.4","3,738.2","3,810.3","3,676.8","","0.24%"
